1538006767,iHeartInfoTech,"@ObiWanKenAri @dkatzmaier @joan_e @TWC_Help @GetSpectrum When I was using the Roku App, I found it would freeze on the channels I was tuned to ‘every time’. That’s why I was so hopeful for the #AppleTV app. Still ‘no reply from #SpectrumTV . Come on, you’re a large corporation, answer your customers."
1537984819,EvervueUSA,"Spectrum Smart TV is designed to look like an artwork and a fully functioning Smart TV in one device. It can be installed in minutes: just simply hang the TV, connect to power, connect to wifi and enjoy. #smarttv #tvwithframe #framedtelevision #spectrumtv https://t.co/DRZcf4wNuD https://t.co/zJbEvTEA9B"
1537952401,evervue_au,"Spectrum Smart TV is designed to look like an artwork and a fully functioning Smart TV in one device. It can be installed in minutes: just simply hang the TV, connect to power, connect to wifi and enjoy. #smarttv #tvwithframe #framedtelevision #spectrumtv https://t.co/hEeTAdxUBU https://t.co/kgKqUhaec1"
1537836963,__Kelsss__,What’s the point of having the SpectrumTV app if it never works? 😑 @GetSpectrum
1537835075,Kory4MVP,@Ask_Spectrum like literally once a day this SpectrumTV app is having errors. Why does this continue to happen?
1537818201,adtrujillo27,@SpectrumSN @KingJames @RealAClifton @JamesWorthy42 @geeter3 Awesome interview!! Thank you spectrumTV for letting the fans be part of the Lakers world.🤩🤩
1537754865,Bamaa_H,@Ask_Spectrum can someone explain why the spectrumtv app and the https://t.co/TQVgdjevFM are both not working?
1537752097,jameshrwood3,"On day 1 with @Ask_Spectrum, how come your #SpectrumTV app crashes repeatedly? Then displays these wonderful messages. I think my favorites were SUC-1001, SUC-1002, SUC-1007 (all not pictured) but got these though. https://t.co/YVNix28Mxz"
1537667972,SpringTrails216,I dm’s SpectrumTV and they’re currently doing tests. Not warning me they’d shut it off again man oh man lmao I’ll never be in their dm’s in a big game 😂
1537634370,CocoaINpeaches,@Ask_Spectrum I’m stuck with #Spectrumtv because we’re in a suburban area where the other providers can’t cross. We are expected to boost our service because your system is inadequate. If I go ouside or to my garage-no service. HELP!
1537496349,veronicasito,@Ask_Spectrum Nothing to troubleshoot SpectrumTV stream is just crappy video looks like 480p encoding more times than not when it is working.. Glad I didn't expect 4K when I switch from Dish.
1537489085,BEWilliams21,#spectruminternet #spectrumtv #spectrumphone #spectrumcable - all horrible. People are nice. Service and reliability are crap. @Ask_Spectrum
1537381801,evervue_es,"Acentúa una pared aburrida con Spectrum Smart TV. Spectrum está disponible en orientación horizontal y vertical con tamaños de pantalla de 32"" y tan grandes como 75"". #frametv #walldecor #spectrumtv #interiorinspo #walldesign https://t.co/4znCfothn3 Media Post https://t.co/QbmHvgR3x8"
1537380015,EvervueUSA,Accentuate a boring wall with Spectrum Smart TV. Spectrum is available in landscape and portrait orientation with screen sizes of 32” and as large as 75”. #spectrumtv #interiorinspo #walldesign #frametv #walldecor https://t.co/DRZcf4wNuD https://t.co/rURgdnXqcx
1537376406,evervue_be,"Accentueer een saaie muur met de Spectrum Smart TV. De Spectrum Smart TV is beschikbaar in een liggende en staande stand van 32"" tot 75"".  #frametv #walldecor #spectrumtv #interiorinspo #walldesign https://t.co/BQb72yhc19 https://t.co/7GAYx0m9bV"
1537376402,evervue_nl,"Accentueer een saaie muur met de Spectrum Smart TV. De Spectrum Smart TV is beschikbaar in een liggende en staande stand van 32 "" tot 75"".  #frametv #walldecor #spectrumtv #interiorinspo #walldesign  https://t.co/qXP8Vccwgx https://t.co/7pLQ4Iqiq5"
